Kecipir ( buah muda ),1,35,2.9,0.2,5.8,Sajikan
"Keluwih, kelawi",1,111,1.5,0.3,27.2,Sajikan
Kembang turi,1,44,1.8,0.6,9.6,Sajikan
Ketimun,1,12,0.7,0.1,2.7,Sajikan
Kool kembang,1,25,2.4,0.2,4.9,Sajikan
"Kool merah, kool putih",1,24,1.4,0.2,5.3,Sajikan
Koro kerupuk ( buah ),1,125,8.3,0.7,22.1,Sajikan
Koro wedus ( buah muda ),1,38,3,0.3,7.9,Sajikan
Kulit melinjo,1,111,4.5,1.1,20.7,Sajikan
Labu air,1,17,0.6,0.2,3.8,Sajikan
Labu siam,1,26,0.6,0.1,6.7,Sajikan
Labu waluh,1,29,1.1,0.3,6.6,Sajikan
Leunca buah (daun leunca),1,33,1.9,0.1,7.4,Sajikan
Lobak,1,19,0.9,0.1,4.2,Sajikan
Melinjo,1,66,5,0.7,13.3,Sajikan
Nangka muda,1,51,2,0.4,11.3,Sajikan
Pare (paria),1,29,1.1,0.3,6.6,Sajikan
Pepaya muda,1,26,2.1,0.1,4.9,Sajikan
Rebung,1,27,2.6,0.3,5.2,Sajikan
Sawi,1,22,2.3,0.3,4,Sajikan
Selada,1,15,1.2,0.2,2.9,Sajikan
Selada air,1,17,1.7,0.3,3,Sajikan
Taoge kacang ijo,1,23,2.9,0.2,4.1,Sajikan
Taoge kacang kedele,1,67,9,2.6,6.4,Sajikan
Taoge kacang tunggak,1,35,5,0.2,5.8,Sajikan
Tebu terubuk,1,25,4.6,0.4,3,Sajikan
Tekokak,1,34,2,0.1,7.9,Sajikan
Tekokak kering,1,294,8.3,1.7,72.6,Sajikan
Terong,1,24,1.1,0.2,5.5,Sajikan
Terong belanda,1,48,1.5,0.3,11.3,Sajikan
Tomat ( sari air tomat ),1,15,1,0.2,3.5,Sajikan
Tomat masak,1,20,1,0.3,4.2,Sajikan
Tomat muda,1,23,2,0.7,2.3,Sajikan
Wortel,1,42,1.2,0.3,9.3,Sajikan
Alpokat,1,85,0.9,6.5,7.7,Sajikan
Anggur,1,50,0.5,0.2,12.8,Sajikan
Apel,1,58,0.3,0.4,14.9,Sajikan
Arbei,1,37,0.8,0.5,8.3,Sajikan
Belimbing,1,36,0.4,0.4,8.8,Sajikan
Bengkuang,1,55,1.4,0.2,12.8,Sajikan
Buah atung,1,23,0.8,0.2,5.2,Sajikan
Buah mentega ( bisbul ),1,39,0.7,0.2,9.7,Sajikan
Buah nona,1,101,1.7,0.6,25.2,Sajikan
Cempedak,1,116,3,0.4,28.6,Sajikan
Duku,1,63,1,0.2,16.1,Sajikan
Durian,1,134,2.5,3,28,Sajikan
Embacang,1,98,1.4,0.2,25.4,Sajikan
Erbis,1,70,0.6,0,18.9,Sajikan
Gandaria,1,68,0.7,0.1,18,Sajikan
Jambu air,1,46,0.6,0.2,11.8,Sajikan
Jambu biji,1,49,0.9,0.3,12.2,Sajikan
Jambu bol,1,56,0.6,0.3,14.2,Sajikan
Jambu monyet ( buah ),1,64,0.7,0.6,15.8,Sajikan
Jeruk bali,1,48,0.6,0.2,12.4,Sajikan
Jeruk garut (jeruk keprok),1,44,0.8,0.3,10.9,Sajikan
Jeruk manis,1,45,0.9,0.2,11.2,Sajikan
Jeruk manis (air sari jeruk),1,44,0.8,0.2,11,Sajikan
Jeruk nipis,1,37,0.8,0.1,12.3,Sajikan
Kedondong masak,1,41,1,0.1,10.3,Sajikan
Kemang,1,48,1,0.2,11.9,Sajikan
Kesemek,1,78,0.8,0.4,20,Sajikan
Kokosan,1,86,1.6,0.2,13,Sajikan
Langsat,1,56,0.9,0.2,14.3,Sajikan
Mangga gedong,1,44,0.7,0.2,11.2,Sajikan
Mangga golek,1,63,0.5,0.2,16.7,Sajikan
Mangga harumanis,1,46,0.4,0.2,11.9,Sajikan
Mangga indramayu,1,72,0.8,0.2,18.7,Sajikan
Mangga kopek,1,56,0.4,0.2,14.6,Sajikan
Mangga muda,1,59,0.5,0.4,15.1,Sajikan
Manggis,1,63,0.6,0.6,15.6,Sajikan
Menteng,1,65,1.7,0.2,16.1,Sajikan
Nanas,1,52,0.4,0.2,13.7,Sajikan
Nangka masak dipohon,1,106,1.2,0.3,27.6,Sajikan
Pala ( dagingnya ),1,42,0.3,0.2,10.9,Sajikan
Pepaya,1,46,0.5,0,12.2,Sajikan
Pisang ambon,1,99,1.2,0.2,25.8,Sajikan
Pisang angleng (pis. ampyang),1,68,1.3,0.2,17.2,Sajikan
Pisang lampung,1,99,1.3,0.2,25.6,Sajikan
Pisang mas,1,127,1.4,0.2,33.6,Sajikan
Pisang raja,1,120,1.2,0.2,31.8,Sajikan
Pisang raja sereh (pis. susu),1,118,1.2,0.2,31.1,Sajikan
Pisang raja uli,1,146,2,0.2,38.2,Sajikan
Rambutan,1,69,0.9,0.1,18.1,Sajikan
Salak,1,77,0.4,0,20.9,Sajikan
Salak bali,1,57,0.5,0.1,13.6,Sajikan
Salak pondoh,1,368,0.8,0.4,90.3,Sajikan
Sawo,1,92,0.5,1.1,22.4,Sajikan
Sawo duren,1,64,1,3.1,8,Sajikan
Sawo kecik,1,111,0.9,2.3,21.6,Sajikan
Semangka,1,28,0.5,0.2,6.9,Sajikan
Sirsak,1,65,1,0.3,16.3,Sajikan
Srikaya,1,101,1.7,0.6,25.2,Sajikan
Srikaya (DKBM P3G '90),1,63,1.1,0.5,13.9,Sajikan
Sukun muda,1,119,1.4,0.2,28.1,Sajikan
Sukun muda (DKBM P3G '90),1,119,1.4,0.2,28.1,Sajikan
Sukun tua,1,126,1.6,0.2,24.5,Sajikan
Sukun tua (DKBM P3G '90),1,129,1.6,0.2,24.5,Sajikan
Tempoyak,1,142,2.7,4.6,22.7,Sajikan
Wuni,1,74,0.8,0.3,17.1,Sajikan
Es krim,1,207,4,12.5,20.6,Sajikan
Keju,1,326,22.8,20.3,13.1,Sajikan
Kepala susu (krim),1,204,2.6,20,4,Sajikan
Mentega,1,725,0.5,81.6,1.4,Sajikan
Susu kambing,1,64,4.3,2.3,6.6,Sajikan
Susu kental manis,1,336,8.2,10,55,Sajikan
Susu kental tak manis,1,138,7,7.9,9.9,Sajikan
Susu kerbau,1,160,6.3,12,7.1,Sajikan
Susu sapi,1,61,3.2,3.5,4.3,Sajikan
Susu skim (susu tak berlemak),1,36,3.5,0.1,5.1,Sajikan
Tepung susu,1,509,24.6,30,36.2,Sajikan
Tepung susu asam untuk bayi,1,418,19,9,65.5,Sajikan
Tepung susu skim,1,362,35.6,1,52,Sajikan
Yoghurt,1,52,3.3,2.5,4,Sajikan
Lemak babi,1,902,0,0,0,Sajikan
Lemak kerbau (lemak sapi),1,818,1.5,90,0,Sajikan
Margarin,1,720,0.6,81,0.4,Sajikan
Minyak hati hiu (eulamia),1,902,0,0,0,Sajikan
Minyak ikan,1,902,0,0,0,Sajikan
Minyak kacang tanah,1,902,0,0,0,Sajikan
Minyak kelapa,1,870,1,98,0,Sajikan
Minyak kelapa sawit,1,902,0,0,0,Sajikan
Minyak wijen,1,902,0,0,0,Sajikan
Bier (4% alkohol),1,48,0.6,0,4.4,Sajikan
Coklat manis ( batang ),1,472,2,29.8,62.7,Sajikan
Coklat pahit ( batang ),1,504,5.5,52.9,29.2,Sajikan
Coklat susu  ( batang ),1,381,9,35,53.6,Sajikan
Dodol,1,395,3,5.7,81.2,Sajikan
Gelatin,1,389,91,0,0,Sajikan
Gula aren,1,368,0,0,95,Sajikan
Gula kelapa,1,386,3,10,76,Sajikan
"Gula merah tebu, belum murni",1,356,0.4,0.5,90.6,Sajikan
Gula pasir,1,364,0,0,94,Sajikan
Jam sele,1,239,0.5,0.6,64.5,Sajikan
"Kopi, bagian yang dapat larut",1,352,17.4,1.3,69,Sajikan
Lemon squash,1,36,0,0,10,Sajikan
Limun,1,30,0,0,8,Sajikan
Madu,1,294,0.3,0,79.5,Sajikan
Melasse,1,276,0,0.1,71,Sajikan
Serbuk coklat,1,298,8,23.8,48.9,Sajikan
"Setrup, sirup",1,213,0,0,55,Sajikan
Teh,1,132,19.5,0.7,67.8,Sajikan
Aci aren,1,355,0.6,1.1,85.6,Sajikan
Agar laut (DKBM P3G '90),1,21,0.1,0.1,4.8,Sajikan
Agar-agar,1,0,0,0.2,0,Sajikan
Alur,1,24,1.8,0.3,4.8,Sajikan
Bonggol pisang,1,43,0.6,0,11.6,Sajikan
Bonggol pisang kering,1,245,3.4,0,66.2,Sajikan
Bulung,1,333,8.2,0.1,64.7,Sajikan
Bulung jajar (agar jajal),1,212,16.9,0.2,47.6,Sajikan
Bulung sangu,1,237,14.7,0.2,56,Sajikan
Cengkeh kering,1,292,5.2,8.9,57.4,Sajikan
Cuka,1,12,0.1,0.1,5,Sajikan
Daun cincau,1,122,6,1,26,Sajikan
Donge-donge,1,16,0.5,0.2,3.6,Sajikan
Jahe,1,51,1.5,1,10.1,Sajikan
Kecap,1,46,5.7,1.3,9,Sajikan
Kelangis,1,230,5.7,20.6,5.5,Sajikan
Kunyit,1,63,2,2.7,9.1,Sajikan
Lawi-lawi,1,18,0.5,0.9,2.6,Sajikan
Lidah buaya,1,4,0.1,0.2,0.4,Sajikan
Merica,1,359,11.5,6.8,64.4,Sajikan
Ragi,1,136,43,2.4,3,Sajikan
Saos tomat,1,98,2,0.4,24.5,Sajikan
Bacang,1,72,2.3,1.9,11.4,Sajikan
Bihun goreng,1,308,5.9,8.9,51,Sajikan
Bubur,1,6,0.1,0,1.3,Sajikan
Bubur beras (Menu Pgln),1,70,1.8,0,0,Sajikan
Bubur kentang (Menu Pgln),1,76,1.3,0,0,Sajikan
Bubur tepung (Menu Pgln),1,363,0.5,0,0,Sajikan
Bubur wortel (Menu Pgln),1,73,1.4,0,0,Sajikan
Buntil,1,106,4.4,6.3,7.9,Sajikan
Buras,1,88,2.3,1.3,16.7,Sajikan
Cassava stick,1,460,0.8,18.7,17.2,Sajikan
Cemplon,1,94,0.5,5.28,12.61,Sajikan
Ceriping getuk singkong,1,462,1.2,20.7,67.7,Sajikan
Chilmil,1,472,18,20,55,Sajikan
Combro,1,105,0.8,3.3,17.9,Sajikan
Deblo,1,52,0.4,3,10.6,Sajikan
Dodongkal,1,7,1.3,0.9,15.8,Sajikan
Gadung kukus,1,88,0.6,0.3,20.9,Sajikan
Ganyong rebus,1,100,0.8,0.2,23.8,Sajikan
Gemblong,1,115,1.7,2.6,21.1,Sajikan
Gemblong (DKBM P3G '90),1,274,1.7,5.4,55.5,Sajikan
Gendar goreng,1,407,6.4,28.2,32,Sajikan
Geplak,1,350,1.4,14.4,53.6,Sajikan
Getuk goreng sukaraja,1,360,1.3,6.4,74.3,Sajikan
Getuk lindri,1,60,0.6,1.4,11.2,Sajikan
Getuk singkong,1,204,0.5,1.4,47.4,Sajikan
Gudangan (urapan),1,84,2.76,3.42,12.06,Sajikan
Hunkwe (Menu Pgln),1,226,2,0,0,Sajikan
Intip goreng,1,474,7.6,21.6,62.3,Sajikan
Intip goreng/kerak nasi,1,474,7.6,21.6,62.3,Sajikan
Jagung gronto metro,1,135,2.2,1.1,28.9,Sajikan
Jagung grontol harapan,1,156,2.7,1.3,33.3,Sajikan
Jagung kering dengan kulit,1,355,9.2,3.9,73.7,Sajikan
Jagung rebus,1,105,2.6,1.1,21.1,Sajikan
Japilus,1,500,1.2,25.1,67.3,Sajikan
Jenang,1,220,2.6,5.7,39.5,Sajikan
Karoket,1,73,1.2,2.8,0.7,Sajikan
Kecimpring singkong,1,464,1.2,18.6,73,Sajikan
Kecimpring sinkong goreng,1,262,1.2,18.6,73,Sajikan
Kelepon,1,107,0.6,2.7,20.1,Sajikan
Kemplang goreng,1,504,5.6,28.1,57.1,Sajikan
Kemplang panggang,1,356,9.7,1.1,76.9,Sajikan
